,price,market_cap
2021-12-01 00:00:00 UTC,14.14624561,0
2021-12-02 00:00:00 UTC,14.14624561,0
2021-12-03 00:00:00 UTC,9.347079077,0
2021-12-04 00:00:00 UTC,7.819570522,0
2021-12-05 00:00:00 UTC,7.288818134,0
2021-12-06 00:00:00 UTC,6.654391545,0
2021-12-07 00:00:00 UTC,6.444864628,0
2021-12-08 00:00:00 UTC,6.250867438,410103791.8
2021-12-09 00:00:00 UTC,5.648761365,370827295.2
2021-12-10 00:00:00 UTC,6.068360416,343977146.7
2021-12-11 00:00:00 UTC,5.163416841,296116821.5
2021-12-12 00:00:00 UTC,5.558042408,315903924.4
2021-12-13 00:00:00 UTC,5.29077293,299846772
2021-12-14 00:00:00 UTC,4.289206053,243506742.4
2021-12-15 00:00:00 UTC,4.144090015,234509565.9
2021-12-16 00:00:00 UTC,4.126714475,233420156.1
2021-12-17 00:00:00 UTC,3.904183293,227996728.1
2021-12-18 00:00:00 UTC,3.585072986,209574875.8
2021-12-19 00:00:00 UTC,3.659792824,214379426.3
2021-12-20 00:00:00 UTC,3.521645587,206566967.4
2021-12-21 00:00:00 UTC,3.1992048,187967936.2
2021-12-22 00:00:00 UTC,3.611671955,212197310.7
2021-12-23 00:00:00 UTC,3.614610554,237524009.5
2021-12-24 00:00:00 UTC,3.886810203,253814732.7
2021-12-25 00:00:00 UTC,3.78466776,247976665.9
2021-12-26 00:00:00 UTC,4.941262002,323266032.9
2021-12-27 00:00:00 UTC,5.7686345,377751754.1
2021-12-28 00:00:00 UTC,5.182924289,338615234.1
2021-12-29 00:00:00 UTC,4.403642287,289813371.3
2021-12-30 00:00:00 UTC,4.809399143,311258833.9
2021-12-31 00:00:00 UTC,4.682252243,306031874.3
2022-01-01 00:00:00 UTC,4.544909314,295865896.6
2022-01-02 00:00:00 UTC,4.468841537,292253055
2022-01-03 00:00:00 UTC,4.225166806,275527481.1
2022-01-04 00:00:00 UTC,3.921079211,258277858.6
2022-01-05 00:00:00 UTC,3.91702709,291041062.7
2022-01-06 00:00:00 UTC,3.587042189,263057705.7
