,price,market_cap
2020-10-21 00:00:00 UTC,0.767914856,11633905.8
2020-10-22 00:00:00 UTC,0.767914856,11633905.8
2020-10-23 00:00:00 UTC,0.784118269,10541907.24
2020-10-24 00:00:00 UTC,1.188594222,16104041.64
2020-10-25 00:00:00 UTC,0.974414953,13142879.83
2020-10-26 00:00:00 UTC,0.903093064,12063910.88
2020-10-27 00:00:00 UTC,0.822037539,11023386.93
2020-10-28 00:00:00 UTC,0.781956232,10522875.28
2020-10-29 00:00:00 UTC,0.680862315,9109102.264
2020-10-30 00:00:00 UTC,0.803841077,10827149.46
2020-10-31 00:00:00 UTC,0.731026739,9824647.561
2020-11-01 00:00:00 UTC,0.785054451,10565743.11
2020-11-02 00:00:00 UTC,0.745599394,10044036.43
2020-11-03 00:00:00 UTC,0.726727922,9839570.435
2020-11-04 00:00:00 UTC,0.6979969,9379866.216
2020-11-05 00:00:00 UTC,0.714137096,9589767.698
2020-11-06 00:00:00 UTC,0.697236373,9369957.706
2020-11-07 00:00:00 UTC,0.748327804,9970055.349
2020-11-08 00:00:00 UTC,0.786126542,10525497.76
2020-11-09 00:00:00 UTC,0.834940305,11256170.7
2020-11-10 00:00:00 UTC,0.976372258,13154466.94
2020-11-11 00:00:00 UTC,1.006762956,13631448.1
2020-11-12 00:00:00 UTC,0.911962447,12306314.02
2020-11-13 00:00:00 UTC,0.920088004,12507985.06
2020-11-14 00:00:00 UTC,1.065244761,14268293.96
2020-11-15 00:00:00 UTC,1.289711387,17395825.22
2020-11-16 00:00:00 UTC,1.278149801,17199488
2020-11-17 00:00:00 UTC,1.583096284,20999719.6
2020-11-18 00:00:00 UTC,1.437190076,19165404.99
2020-11-19 00:00:00 UTC,1.367194653,18377514.55
2020-11-20 00:00:00 UTC,1.299749316,17562956.13
2020-11-21 00:00:00 UTC,1.412283589,19092608.42
2020-11-22 00:00:00 UTC,1.376425555,18584375.25
2020-11-23 00:00:00 UTC,1.312422888,17745388.28
2020-11-24 00:00:00 UTC,1.409140081,19035060.18
2020-11-25 00:00:00 UTC,1.297034779,17484468.34
2020-11-26 00:00:00 UTC,1.218487224,16583540.92
2020-11-27 00:00:00 UTC,1.056279122,14249831.94
2020-11-28 00:00:00 UTC,1.094594318,14773264.1
2020-11-29 00:00:00 UTC,1.152506209,15590067.55
2020-11-30 00:00:00 UTC,1.132435659,15241150.57
2020-12-01 00:00:00 UTC,1.18096424,16017624.98
2020-12-02 00:00:00 UTC,1.256353111,16968624.3
2020-12-03 00:00:00 UTC,1.482463977,20016968.47
2020-12-04 00:00:00 UTC,1.44934803,19606785.09
2020-12-05 00:00:00 UTC,1.576477421,21490401.84
2020-12-06 00:00:00 UTC,1.704573606,23178455.06
2020-12-07 00:00:00 UTC,1.585118216,21441243.05
2020-12-08 00:00:00 UTC,1.727444965,23274436.21
2020-12-09 00:00:00 UTC,1.832618752,24883013.16
2020-12-10 00:00:00 UTC,2.196043161,29639357.23
2020-12-11 00:00:00 UTC,2.063426744,27878576.63
2020-12-12 00:00:00 UTC,1.868774727,25225342.27
2020-12-13 00:00:00 UTC,2.082752897,28167402.95
2020-12-14 00:00:00 UTC,2.179010685,29018037.57
2020-12-15 00:00:00 UTC,2.832037939,38084646.02
2020-12-16 00:00:00 UTC,3.279923279,44059937.47
2020-12-17 00:00:00 UTC,3.163774752,43204147.49
2020-12-18 00:00:00 UTC,2.952957979,39894101.24
2020-12-19 00:00:00 UTC,3.28111974,44514405.76
2020-12-20 00:00:00 UTC,3.134511206,42292612.31
2020-12-21 00:00:00 UTC,2.990654043,40394212.14
2020-12-22 00:00:00 UTC,3.399559149,45564839.67
2020-12-23 00:00:00 UTC,4.511007203,61341919.6
2020-12-24 00:00:00 UTC,3.937365176,54611173.72
2020-12-25 00:00:00 UTC,4.58456553,61886841.23
2020-12-26 00:00:00 UTC,4.08209314,55007234.04
2020-12-27 00:00:00 UTC,4.250229684,57298070.15
2020-12-28 00:00:00 UTC,4.812154138,65894827.97
2020-12-29 00:00:00 UTC,4.763201932,64375965.25
2020-12-30 00:00:00 UTC,4.368307195,58989319.79
2020-12-31 00:00:00 UTC,3.935550596,53209553.37
2021-01-01 00:00:00 UTC,4.068870657,54913947.92
2021-01-02 00:00:00 UTC,4.043153321,54512437.74
2021-01-03 00:00:00 UTC,3.604448772,48446046.91
2021-01-04 00:00:00 UTC,4.492921438,61077421.11
2021-01-05 00:00:00 UTC,4.26518658,57518187.05
2021-01-06 00:00:00 UTC,4.59951121,62092667.65
2021-01-07 00:00:00 UTC,4.642930683,62612605.85
2021-01-08 00:00:00 UTC,4.658923031,63285500.17
2021-01-09 00:00:00 UTC,4.671645937,63044536.04
2021-01-10 00:00:00 UTC,4.767996121,64457197.8
2021-01-11 00:00:00 UTC,4.42799739,59711581.44
2021-01-12 00:00:00 UTC,4.414946371,59106237.69
2021-01-13 00:00:00 UTC,4.926457745,67760389.28
2021-01-14 00:00:00 UTC,5.465237105,73572581.31
2021-01-15 00:00:00 UTC,6.736495831,90664124.9
2021-01-16 00:00:00 UTC,6.391178524,87235274.6
2021-01-17 00:00:00 UTC,6.240473297,84039080.06
2021-01-18 00:00:00 UTC,6.141349793,82971684.72
2021-01-19 00:00:00 UTC,7.231525979,98580366.78
2021-01-20 00:00:00 UTC,8.677598713,119018721.9
2021-01-21 00:00:00 UTC,8.533604013,115097746.7
2021-01-22 00:00:00 UTC,7.091814419,97387991.35
2021-01-23 00:00:00 UTC,8.834183744,118791254.7
2021-01-24 00:00:00 UTC,8.444934431,113861267.5
2021-01-25 00:00:00 UTC,8.744844813,118145972.8
2021-01-26 00:00:00 UTC,8.492902515,115427074.6
2021-01-27 00:00:00 UTC,8.325414479,112813069.2
2021-01-28 00:00:00 UTC,7.525914522,102144415.2
2021-01-29 00:00:00 UTC,8.279320797,115284614.9
2021-01-30 00:00:00 UTC,8.025784079,108340358.3
2021-01-31 00:00:00 UTC,9.475792839,128384282.6
2021-02-01 00:00:00 UTC,9.501193173,125100548.1
2021-02-02 00:00:00 UTC,10.39682841,140980787
2021-02-03 00:00:00 UTC,11.81987411,160095308.3
2021-02-04 00:00:00 UTC,11.32151625,152934222.9
2021-02-05 00:00:00 UTC,12.75725479,174415038.2
2021-02-06 00:00:00 UTC,12.50033046,168558631.7
2021-02-07 00:00:00 UTC,11.2455532,151940151.1
2021-02-08 00:00:00 UTC,11.44037777,152938029
2021-02-09 00:00:00 UTC,13.75035533,181719517.2
2021-02-10 00:00:00 UTC,15.77108539,213061987.2
2021-02-11 00:00:00 UTC,14.33591982,195334246.3
2021-02-12 00:00:00 UTC,15.06592757,202563012.7
2021-02-13 00:00:00 UTC,15.33771354,207014276.9
2021-02-14 00:00:00 UTC,15.68940542,211239136.3
2021-02-15 00:00:00 UTC,14.95279007,201560856.7
2021-02-16 00:00:00 UTC,13.24671014,179264710.9
2021-02-17 00:00:00 UTC,13.28274492,178976732.2
2021-02-18 00:00:00 UTC,14.19298207,191610114.2
2021-02-19 00:00:00 UTC,15.89358087,214489139
2021-02-20 00:00:00 UTC,17.11796883,230833721.8
2021-02-21 00:00:00 UTC,14.86108932,200660477
2021-02-22 00:00:00 UTC,14.37180944,194294817.6
2021-02-23 00:00:00 UTC,15.7267725,211731898.3
2021-02-24 00:00:00 UTC,13.53289447,181619055
2021-02-25 00:00:00 UTC,14.22558145,192141364.4
2021-02-26 00:00:00 UTC,12.46054593,170712544
2021-02-27 00:00:00 UTC,12.3421716,167139695.1
2021-02-28 00:00:00 UTC,12.40931461,166894449.3
2021-03-01 00:00:00 UTC,12.13820808,165215999.1
2021-03-02 00:00:00 UTC,13.59022432,184362169.4
2021-03-03 00:00:00 UTC,13.18096786,178461117
2021-03-04 00:00:00 UTC,13.6794234,185280468.4
2021-03-05 00:00:00 UTC,12.51594735,169027377.2
2021-03-06 00:00:00 UTC,11.72570346,158324995.3
2021-03-07 00:00:00 UTC,11.91531555,160717025
2021-03-08 00:00:00 UTC,12.20813757,164549663.8
2021-03-09 00:00:00 UTC,12.15745869,164082712
